Num. Ens,Sup. const. sobre rasant,Sup. const. sota rasant,Sup. const. total,Sup. del terreny,Ref. Cadastral
3854,"4941,25",0,"4941,25",6972,0702802DG5000S0001TU;
2221,"2400,8",0,"2400,8",4153,2876701DG1227N0001XL;
2221,"2400,8",0,"2400,8",4153,2976602DG1227N0001LL;
1134,4540,0,4540,0,000100700DF27A0001MI;
1348,500,0,500,0,7347702DF1774E;
1379,"207,00   ","0,00   ","207,00   ","0,00   ",17161A001001770000BJ;
1379,"207,00   ","0,00   ","207,00   ","0,00   ",17161A001001770001ZK;
2539,"1.608,52   ","0,00   ","1.608,52   ","9.300,00   ",17161A008002100000BU;
1854,"1.436,56   ","0,00   ","1.436,56   ","2.150,60   ",17161A008010040000BM;
6349,"0,00   ","0,00   ","0,00   ","188,00   ",3597108EG1739N0001SE;
7029,"0,00   ","0,00   ","0,00   ","188,75   ",3597107EG1739N0001EE;
1854,"1.436,56   ","0,00   ","1.436,56   ","2.150,60   ",17161A008010040001ZQ;