Num. Ens,Espai,Tipus d'ús
3854,Institut d'Argentona,Institut
2221,Institut Miquel Bosch i Jover,Institut
1134,"Parc de Maquinària ""Can Sabadell"" o ""Las Africas"" - CT C-246 i B-204 11 K",Parc de maquinària
1348,CAP Dos de Maig,Centre Assistència Primària
1379,Caseta de Peó Caminaire - DI Afores 32,Habitatge
2539,Parc de Bombers,Parc de bombers
1854,Comissaria de Mossos d'Esquadra,Comissaria de mossos d'esquadra
6349,"Tram Roses C-260 pk 42,500 a 43,750",Vial
7029,"Tram Roses a Besalú carretera C-260 pk. 42,500 a 43,750",Vial
1854,Comissaria de Mossos d'Esquadra,Comissaria de mossos d'esquadra